Stock_Ticker,Decision_Date,CAR,CAR/Sigma
MSFT,"March 19, 2014",0.04678633785038,2.3050874033965574
AMZN,"April 15, 2011",-0.00543399451316,-0.2049101453542196
CSCO,"May 12, 2016",0.0031895194176725,0.33965640859829055
MRVL,"December 26, 2012",-0.1233598704481,-3.735440175940808
SNX,"November 19, 2008",-0.1129257951759,-2.715279198844321
MRO,"January 14, 2016",-0.02506727732479999,-0.6394074762610455
INTC,"May 2, 2014",-0.002491201543587,-0.333025810506953
ENZ,"November 1, 2012",0.30899696618100003,6.615514940707295
ELY,"March 5, 2010",-0.0013543712738,-0.05637038068909746
AAPL,"November 17, 2014",0.007931797137771,0.3916891473017926
AAPL,"May 5, 2014",0.00494133515138,0.41493097444121935
ITRI,"June 6, 2014",-0.0035320981245500005,-0.22881158764171838
BBRY,"July 13, 2012",-0.05268825912320001,-1.1740121346383188
NOK,"September 30, 2014",-0.01642124764906,-0.6470601497637191
ABT,"June 29, 2009",-0.00897037641862,-0.29393849118412596
ILMN,"March 14, 2013",-0.01527737885799,-0.4472689005493917
TGT,"January 16, 2015",-0.052307691677700004,-2.232806397690501
HAE,"January 30, 2009",0.08847689906433,3.9107182259285342
TWX,"May 15, 2009",0.02545664249,0.41206788246960047
IBM,"May 2, 2014",-0.015182259432370001,-2.5123842295657006
WHR,"March 10, 2017",0.005094877264986399,0.409749133328518
AAPL,"December 15, 2016",0.0001258935232187,0.011244608858052908
FMC,"May 13, 2011",0.02198987703572,1.628533572406428
BDX,"November 9, 2009",-0.0044598787100800005,-0.29998178672446846
AKAM,"February 29, 2008",0.06709852266579999,1.9748820681027364
NTGR,"June 13, 2013",0.005018013594880001,0.16890367158931327
ORCL,"August 25, 2008",-0.00511958445171,-0.35531836297109526
HUM,"November 25, 2013",0.02718615167425,1.7389650695503642
POWI,"March 4, 2014",0.05301243511447,3.7278854846923055
CAT,"November 25, 2013",0.02160765273514,1.9457865743794527
IBM,"October 12, 2011",0.001005434438136,0.05910778474060368
SSNI,"June 6, 2014",0.016913408347739998,0.551425341559685
IBM,"October 5, 2010",0.0054527317482609,0.4801066905167013
IBM,"May 5, 2014",-0.00426448036925,-0.6611782570809485
SNPS,"March 10, 2016",-0.000699338107944,-0.07718240734267837
NVDA,"May 4, 2015",-0.019221406367010002,-0.8390108077288292
LLY,"May 18, 2017",-0.02908167093433,-2.896155950128338
POWI,"December 18, 2015",0.020135403155990002,0.6137254638292479
NVDA,"February 29, 2012",-0.00306823001019,-0.1512131940755301
HPE,"October 7, 2016",-0.01300324974141,-0.8073464060787107
BAX,"January 30, 2009",0.037114336992300004,1.2998158896287602
STI,"November 25, 2013",0.010321193842109999,1.0875421224788655
VSAT,"April 24, 2014",-0.0006019597922300004,-0.018288234356933025
BSX,"May 11, 2011",0.005556832839300002,0.1954073733798556
CBS,"September 15, 2014",-0.0008026045760599998,-0.03232876809948569
YHOO,"April 15, 2011",-0.00792811825413,-0.3557232339126312
RAD,"November 25, 2013",0.0080675446345,0.13991130534765997
CSCO,"November 6, 2012",0.01454644905804,0.6032340694047162
TRV,"November 25, 2013",0.00155192294363,0.1910724883930812
AAPL,"November 21, 2013",0.00794466649234,0.31867718800251527
GEH,"November 25, 2013",0.01967963668946,1.8264536059204155
SYMC,"February 6, 2015",-0.044891392270657,-3.910565923083641
IDTI,"February 29, 2012",0.0112829394484,0.5602655418179129
T,"March 20, 2013",0.00414491885488,0.4096641636907683
SHLD,"May 12, 2017",-0.241776596146,-2.8623672366559463
VZ,"November 25, 2013",0.0002493636054800002,0.016768253527808058
JNJ,"January 28, 2011",-0.009245380840125,-1.4408546018361474
KYO,"May 23, 2011",0.031972424153699996,1.0282246408075837
LZB,"March 16, 2016",0.0039063359175200004,0.17828336722206334
GGG,"November 17, 2016",-0.02024291962546,-1.6013234942058598
RHT,"April 15, 2011",0.00192824720487,0.08264319623302266
FMC,"August 26, 2009",0.004207720881500001,0.17416601796596676
SYK,"February 5, 2013",0.00221644239754,0.2648980888063334
SMCI,"February 23, 2011",0.022608176366806,0.8773270947709442
CTXS,"June 18, 2012",-0.021896965823960002,-0.7020761024195444
AVX,"January 26, 2016",0.01836483249817,1.5070741002214505
GE,"June 17, 2011",-0.01017122407463,-0.8184347615283342
GMED,"June 14, 2013",0.0261727160666,1.0042657271844233
HPQ,"April 9, 2008",-0.008962495316000001,-0.34824508308865704
BSX,"May 12, 2011",-0.008794475536910002,-0.3102803425657087
FFIV,"March 15, 2016",-0.00606736855574,-0.2877734102601802
POWI,"December 17, 2015",0.0325314727886,0.9871715145899307
TEX,"March 3, 2011",0.015653816433399997,0.5622289101051137
SYX,"April 30, 2010",-0.0288834418483,-0.6426756832771136
CI,"November 25, 2013",0.02037335247315,1.250857502813644
MON,"September 21, 2010",-0.03299899100549,-1.0046552522420873
TXN,"May 4, 2015",-0.0054560974848500005,-0.5048654000043872
MTB,"March 26, 2010",-0.034190884060910004,-1.2514903156311026
FII,"November 25, 2013",-0.0037547434575400003,-0.3563459897312615
YHOO,"May 15, 2009",0.01156268903375,0.31819224056558565
MMM,"October 22, 2008",0.0860133584436,8.915463626236551
ZION,"March 26, 2010",-0.08303338055369999,-1.7989821986939725
AAPL,"May 2, 2014",0.013552927560490001,1.136676229377006
AAPL,"February 3, 2016",0.0307956319622,1.8403989567764387
HAS,"March 24, 2008",0.003722981226257,0.12730507864437882
HOLX,"October 17, 2011",-0.024041729026697,-1.2628347893619476
VZ,"March 18, 2011",0.0204191920021,1.1766401975307268
USB,"March 26, 2010",-0.01610220169735,-0.810166423924673
MSFT,"November 21, 2013",0.0075045425673,0.3754410260047817
MON,"August 1, 2012",0.03657847648926,2.0725055206050684
CGNX,"May 1, 2015",0.015090988629054999,0.7069796895222223
CGNX,"May 1, 2014",-0.0026513171766999986,-0.08890022620515038
IBM,"November 21, 2013",-0.0325597523504,-3.084763722762374
MSFT,"May 5, 2014",-0.01352843156716,-1.034783031241003
BBRY,"February 13, 2015",0.0440037459754,1.4524557887775218
RDWR,"March 15, 2016",0.0035585670252000004,0.17344016203981816
ROK,"October 16, 2012",0.008335017884600001,0.46319203599397535
INTC,"June 13, 2013",0.0041874148543,0.24731502917202536
TWX,"November 4, 2011",0.01411288813616,0.9370301203905761
FB,"April 5, 2013",0.0030617756776999995,0.08727411271376487
CSCO,"April 8, 2011",-0.0134633201841,-0.3135588136492252
NOK,"December 15, 2016",0.032686852771189996,1.0078838976546778
BELFA,"November 26, 2012",0.0054796522124300005,0.18479964839799368
SYK,"November 11, 2016",-0.0591651932306,-7.031053947363034
BSX,"May 27, 2008",-0.010365109568700001,-0.4687856879240548
BRCD,"August 6, 2012",0.01085881594924,0.2643870137776987
BBY,"December 17, 2012",0.0009509522924100004,0.025191512146394913
INTC,"October 5, 2010",0.009345344482379999,0.521570377989752
ABT,"January 14, 2011",0.004482238583649999,0.45895818479497524
GE,"November 1, 2012",0.009541800637392999,1.310275999194481
HON,"November 26, 2012",-0.00229962171046,-0.21798009916571567
INTC,"May 5, 2014",0.0068019906629239995,0.883807258150216
INTC,"September 21, 2016",-0.015570457058009999,-1.2379550730150146
AAPL,"November 19, 2015",0.015057472195,0.8035487915304803
POWI,"June 5, 2015",-0.01938062164563,-1.0710809528000302
TMUS,"September 14, 2016",0.01805474912804,1.2383192262970575
TXN,"October 3, 2013",-0.00938826983158,-0.7071318202923593
CFR,"March 26, 2010",-0.011001227437358999,-0.8481679887933025
KEY,"March 26, 2010",-0.0468049352516,-1.3611220106688335
FOSL,"April 3, 2014",-0.027570754707,-1.2256275779856196
HPQ,"October 5, 2010",-0.01702207799077,-0.5663697983672291
EA,"December 5, 2014",0.01092063746066,0.6104682283417239
CSCO,"May 17, 2010",-0.02132196783803,-1.6020189864826289
INTC,"August 4, 2015",0.00528999131417,0.3896459403657883
AMD,"February 29, 2012",-0.0055389305270300004,-0.22318502811919735
HSNI,"November 25, 2013",-0.015061826012439999,-1.1089954854410105
HSNI,"November 18, 2011",0.00556568657366,0.23389937726585464
WFC,"March 26, 2010",-0.009122491722836001,-0.41727517612284426
SHLD,"January 16, 2015",0.006865965375390001,0.07175430565359261
CSCO,"September 30, 2016",0.00389046621086,0.538974798803951
GILD,"March 24, 2016",0.026378453654,0.8867811015792102
BSX,"February 11, 2008",0.0354075193903,1.2287488731855387
HOLX,"September 4, 2012",0.0069472355962519996,0.45143078205054316
ALK,"November 25, 2013",-0.0137397278134,-0.6511766515082328
INTL,"November 25, 2013",-0.009729158207281,-0.8468056058993902
SPLS,"December 21, 2010",0.010683637038160002,0.7685684793446206
S,"September 14, 2016",0.01647970863654,0.20810864185040423
TPX,"January 21, 2014",-0.02576096604777,-0.7545741291897169
DD,"May 16, 2017",-0.02352862034379,-1.5467953700507568
CMA,"March 26, 2010",-0.02205640905769,-0.7144159346875761
CNA,"November 25, 2013",0.008912454212609,0.6973031459257669
GRMN,"July 12, 2012",-0.0271719009033,-1.6336779889427226
SFLY,"November 18, 2011",-0.04035697299521,-1.1708299076502098
CSCO,"November 26, 2012",0.03118067804,2.7474264098113883
PII,"April 16, 2009",0.08009274365305999,1.8879019670473631
NATI,"February 29, 2012",0.010777411459056,0.49678550583390474
WHR,"March 11, 2010",-0.00777027367801,-0.44471336776527226
PRKR,"October 28, 2013",-0.0847728566946,-1.7322119476480864
GE,"November 25, 2013",-0.00905172519022,-0.9366567219014955
YHOO,"November 4, 2011",0.0066062424134,0.18340028236208242
CSCO,"March 22, 2013",-0.0005682657738700003,-0.04266274336513116
T,"September 14, 2016",0.0058121323074599995,0.4988504038357066
AVT,"January 28, 2016",-0.01147853344844,-0.7688752254081853
INTC,"November 21, 2013",-0.0436727144335,-3.0627509281294145
LLY,"April 21, 2017",0.00520778628244,0.39820730171178
NUVA,"September 20, 2011",-0.08151115885436,-3.2138220594555644
HPQ,"February 23, 2011",-0.1260216173055,-9.266530247463738
GE,"March 8, 2012",0.0008276598373800001,0.06879956069747674
ITRI,"October 3, 2016",0.00987446472213,0.3366679411576247
VZ,"September 14, 2016",0.006030918335074,0.48760847689728004
AAPL,"April 23, 2009",-0.011654992947599998,-0.47173576909406684
XLNX,"May 18, 2012",-0.00930196892162,-0.6709938417643997
CAMP,"February 24, 2016",-0.040402920798550006,-1.024776841177619
MRVL,"January 14, 2013",-0.0086114522049,-0.25078008568595495
VZ,"August 2, 2011",0.021649310222900002,2.5115886830976764
CIX,"February 25, 2010",0.13897336558748,3.525645975597267
INTC,"February 6, 2015",-0.025779571592630002,-1.4848076920890703
AAPL,"July 8, 2011",0.005625953728189999,0.3658898103364336
MCK,"December 12, 2008",0.05582726251611,1.368324096181936
STT,"November 25, 2013",0.0046502882893400006,0.5952756960266841
IDT,"February 15, 2011",-0.07699468351210001,-1.1778517087003473
TXN,"June 20, 2014",0.0010471218733300001,0.05367113908742364
PRGO,"December 14, 2016",-0.00429756716094,-0.16281596068166476
